Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Age missing
EMP1000,Bob,Davis,25.0,DevOps-California,Active,4/2/2021,59767,bob.davis@example.com,-1651623197,Average,True,0
EMP1001,Bob,Brown,32.48454882571075,Finance-Texas,Active,7/10/2020,65304,bob.brown@example.com,-1898471390,Excellent,True,1
EMP1002,Alice,Jones,32.48454882571075,Admin-Nevada,Pending,12/7/2023,88145,alice.jones@example.com,-5596363211,Good,True,1
EMP1003,Eva,Davis,25.0,Admin-Nevada,Inactive,11/27/2021,69450,eva.davis@example.com,-3476490784,Good,True,0
EMP1004,Frank,Williams,25.0,Cloud Tech-Florida,Active,1/5/2022,109324,frank.williams@example.com,-1586734256,Poor,False,0
EMP1005,Alice,Garcia,40.0,Sales-Texas,Inactive,6/10/2020,88642,alice.garcia@example.com,-5409003485,Good,False,0
EMP1006,Frank,Jones,32.48454882571075,Admin-Nevada,Active,4/3/2020,96288,frank.jones@example.com,-4518376063,Good,False,1
EMP1007,Bob,Jones,30.0,Cloud Tech-Florida,Inactive,7/17/2022,94497,bob.jones@example.com,-4134327559,Average,True,0
EMP1008,Frank,Davis,35.0,Admin-Nevada,Inactive,12/8/2023,115565,frank.davis@example.com,-4177656123,Excellent,True,0
EMP1009,Charlie,Johnson,32.48454882571075,DevOps-New York,Active,8/4/2022,76561,charlie.johnson@example.com,-8156985699,Excellent,True,1
EMP1010,David,Williams,35.0,Cloud Tech-New York,Active,7/6/2024,72081,david.williams@example.com,-2720634590,Average,False,0
EMP1011,David,Davis,32.48454882571075,DevOps-California,Active,9/4/2023,84946,david.davis@example.com,-1238296576,Poor,True,1
EMP1012,Heidi,Williams,30.0,HR-New York,Active,3/5/2024,89295,heidi.williams@example.com,-2429543164,Excellent,False,0
EMP1013,Grace,Williams,32.48454882571075,Finance-California,Active,10/10/2020,85666,grace.williams@example.com,-2669300892,Good,False,1
EMP1014,Alice,Garcia,25.0,Admin-Nevada,Active,6/10/2024,97633,alice.garcia@example.com,-1734206968,Excellent,True,0
EMP1015,Grace,Jones,40.0,Sales-Florida,Pending,5/29/2021,117975,grace.jones@example.com,-4215291085,Good,True,0
EMP1016,Alice,Brown,25.0,DevOps-Illinois,Inactive,4/23/2024,94867,alice.brown@example.com,-7713334475,Poor,False,0
EMP1017,Grace,Garcia,30.0,Finance-Texas,Pending,11/28/2024,100377,grace.garcia@example.com,-2639343625,Average,True,0
EMP1018,Charlie,Garcia,32.48454882571075,Cloud Tech-Nevada,Inactive,9/19/2024,94726,charlie.garcia@example.com,-2044397358,Excellent,False,1
EMP1019,Charlie,Williams,35.0,Admin-Illinois,Pending,1/2/2020,91926,charlie.williams@example.com,-7107256365,Average,True,0
EMP1020,Bob,Miller,35.0,HR-New York,Active,5/8/2021,111460,bob.miller@example.com,-9411800536,Excellent,True,0
EMP1021,Bob,Jones,40.0,Cloud Tech-Illinois,Active,9/19/2020,96182,bob.jones@example.com,-5990048963,Good,False,0
EMP1022,Charlie,Johnson,35.0,Sales-Illinois,Inactive,3/9/2021,115023,charlie.johnson@example.com,-6528092427,Average,True,0
EMP1023,David,Garcia,35.0,Finance-Nevada,Pending,2/3/2022,80667,david.garcia@example.com,-7572158623,Excellent,False,0
EMP1024,Bob,Brown,30.0,Admin-Texas,Inactive,2/13/2020,91181,bob.brown@example.com,-1502745643,Good,True,0
EMP1025,David,Miller,25.0,Cloud Tech-Nevada,Pending,4/30/2020,66025,david.miller@example.com,-9485625727,Average,False,0
EMP1026,Frank,Miller,25.0,Sales-New York,Inactive,10/2/2023,83979,frank.miller@example.com,-7032032073,Average,False,0
EMP1027,Heidi,Johnson,30.0,Finance-Florida,Active,7/12/2020,56785,heidi.johnson@example.com,-2761707586,Excellent,True,0
EMP1028,Grace,Garcia,40.0,Finance-Nevada,Active,10/11/2023,95741,grace.garcia@example.com,-7712151341,Excellent,False,0
EMP1029,Alice,Brown,40.0,DevOps-California,Active,5/24/2021,63411,alice.brown@example.com,-2849939088,Excellent,True,0
EMP1030,Charlie,Jones,40.0,Admin-California,Inactive,5/26/2021,111214,charlie.jones@example.com,-2613715040,Good,True,0
EMP1031,Bob,Smith,25.0,DevOps-Illinois,Active,7/10/2020,114845,bob.smith@example.com,-6591520176,Excellent,True,0
EMP1032,Charlie,Brown,40.0,Finance-Florida,Active,11/5/2024,78072,charlie.brown@example.com,-7490509758,Average,False,0
EMP1033,Grace,Johnson,25.0,Finance-California,Inactive,8/7/2021,79610,grace.johnson@example.com,-2304501895,Average,False,0
EMP1034,Heidi,Miller,30.0,Admin-California,Active,4/29/2020,90542,heidi.miller@example.com,-1642361031,Excellent,True,0
EMP1035,Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,10/26/2022,114357,frank.jones@example.com,-6642147648,Excellent,True,0
EMP1036,Alice,Brown,32.48454882571075,Cloud Tech-New York,Active,5/3/2023,54757,alice.brown@example.com,-2515837766,Poor,False,1
EMP1037,Grace,Smith,25.0,Sales-New York,Pending,5/2/2023,52781,grace.smith@example.com,-4996165925,Average,True,0
EMP1038,Frank,Smith,35.0,Admin-Nevada,Pending,10/5/2021,66708,frank.smith@example.com,-6108573277,Good,True,0
EMP1039,Eva,Williams,40.0,HR-Texas,Active,7/27/2022,93481,eva.williams@example.com,-8147617421,Poor,False,0
EMP1040,Bob,Williams,25.0,Sales-New York,Pending,6/27/2021,59271,bob.williams@example.com,-4386490809,Excellent,True,0
EMP1041,Bob,Davis,30.0,HR-California,Active,6/16/2022,108362,bob.davis@example.com,-8186617944,Excellent,False,0
EMP1042,Alice,Johnson,32.48454882571075,HR-Nevada,Active,12/3/2024,59400,alice.johnson@example.com,-4918017225,Average,True,1
EMP1043,Bob,Garcia,32.48454882571075,Admin-California,Inactive,5/23/2023,64744,bob.garcia@example.com,-164597793,Excellent,False,1
EMP1044,Eva,Brown,32.48454882571075,Finance-California,Active,7/8/2020,94399,eva.brown@example.com,-5232194167,Good,True,1
EMP1045,Alice,Brown,25.0,HR-New York,Pending,6/20/2021,61310,alice.brown@example.com,-61027768,Average,True,0
EMP1046,Grace,Garcia,32.48454882571075,Cloud Tech-Texas,Active,12/13/2024,98371,grace.garcia@example.com,-7499564121,Excellent,False,1
EMP1047,Alice,Davis,35.0,Sales-Illinois,Active,5/30/2022,58921,alice.davis@example.com,-310303722,Average,True,0
EMP1048,Alice,Miller,35.0,Admin-Nevada,Active,9/27/2023,57195,alice.miller@example.com,-6831472759,Excellent,False,0
EMP1049,Grace,Miller,32.48454882571075,DevOps-New York,Active,11/5/2024,61375,grace.miller@example.com,-1227770792,Excellent,True,1
EMP1050,Charlie,Davis,40.0,Cloud Tech-New York,Pending,11/11/2021,104767,charlie.davis@example.com,-3496050165,Excellent,False,0
EMP1051,David,Miller,35.0,Admin-Nevada,Active,2/22/2022,111051,david.miller@example.com,-7998407677,Good,False,0
EMP1052,David,Williams,30.0,Finance-California,Inactive,8/7/2024,105674,david.williams@example.com,-9973080694,Good,False,0
EMP1053,Alice,Brown,30.0,Finance-California,Inactive,11/5/2024,54859,alice.brown@example.com,-8146717956,Average,False,0
EMP1054,Frank,Davis,32.48454882571075,Finance-Nevada,Pending,11/9/2021,115746,frank.davis@example.com,-6024375737,Excellent,True,1
EMP1055,Eva,Brown,30.0,Sales-California,Active,8/10/2020,91759,eva.brown@example.com,-3959724664,Excellent,True,0
EMP1056,Frank,Garcia,40.0,Sales-Illinois,Active,2/27/2022,112965,frank.garcia@example.com,-7293417222,Good,False,0
EMP1057,Alice,Smith,40.0,Cloud Tech-Illinois,Pending,11/7/2023,100360,alice.smith@example.com,-2971674337,Excellent,False,0
EMP1058,David,Williams,35.0,Finance-Texas,Pending,11/7/2021,93620,david.williams@example.com,-54522800,Good,False,0
EMP1059,Bob,Jones,35.0,Sales-California,Pending,4/16/2022,72832,bob.jones@example.com,-5619318373,Excellent,True,0
EMP1060,Charlie,Williams,30.0,Finance-Nevada,Inactive,10/19/2023,102369,charlie.williams@example.com,-5508428909,Average,True,0
EMP1061,Eva,Davis,40.0,Sales-Texas,Inactive,8/10/2021,64712,eva.davis@example.com,-7711991807,Excellent,True,0
EMP1062,Frank,Jones,40.0,Finance-Florida,Pending,3/13/2021,85782,frank.jones@example.com,-1213524786,Excellent,True,0
EMP1063,Charlie,Smith,25.0,HR-Illinois,Pending,7/20/2023,93348,charlie.smith@example.com,-1255213759,Poor,False,0
EMP1064,David,Davis,35.0,Admin-New York,Active,2/20/2020,53234,david.davis@example.com,-3754821455,Good,False,0
EMP1065,Bob,Johnson,40.0,Finance-Nevada,Pending,2/2/2021,100284,bob.johnson@example.com,-5328632665,Excellent,False,0
EMP1066,Grace,Brown,30.0,Admin-Nevada,Pending,1/12/2020,112486,grace.brown@example.com,-7850720810,Excellent,True,0
EMP1067,Bob,Smith,40.0,Admin-New York,Pending,11/26/2022,82518,bob.smith@example.com,-5562606028,Poor,True,0
EMP1068,Bob,Brown,40.0,Admin-Florida,Pending,12/23/2022,119152,bob.brown@example.com,-846684549,Poor,True,0
EMP1069,Heidi,Miller,32.48454882571075,DevOps-Illinois,Inactive,8/28/2024,113479,heidi.miller@example.com,-4892673898,Good,False,1
EMP1070,Charlie,Johnson,40.0,Finance-California,Active,9/16/2024,94636,charlie.johnson@example.com,-7563410855,Poor,False,0
EMP1071,Heidi,Johnson,30.0,HR-Florida,Active,1/1/2024,70000,heidi.johnson@example.com,-2884318847,Average,True,0
EMP1072,Frank,Smith,32.48454882571075,Cloud Tech-New York,Active,4/18/2021,76812,frank.smith@example.com,-5200894345,Poor,False,1
EMP1073,David,Johnson,25.0,Finance-Florida,Inactive,1/16/2023,82614,david.johnson@example.com,-8105485100,Average,True,0
EMP1074,Grace,Jones,40.0,Sales-Nevada,Active,10/20/2024,111645,grace.jones@example.com,-7490753997,Good,True,0
